rank,player_name,sg_putting_avg,putter_type,putter_brand,putter_model,putter_release_year,group,season,source,putter_era
13,Christiaan Bezuidenhout,0.458,mallet,Odyssey,Works Big T #5,2015,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
14,Jake Knapp,0.456,mallet,Scotty Cameron,Phantom T-5.2,2025,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
15,Zach Johnson,0.446,blade,SeeMore,Mini Giant FGP,2015,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
16,Andrew Putnam,0.439,mallet,Odyssey,White Hot RX Rossie,2016,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
17,Matt Mccarty,0.435,mallet,PING,PLD Tyne C,2022,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
18,Harris English,0.418,mallet,PING,Scottsdale Hohum,2011,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
19,Ben Griffin,0.407,blade,Scotty Cameron,Concept 2 Tour Prototype,2025,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com) - switched to mallet late 2025,modern (2021+)
20,Tommy Fleetwood,0.404,mallet,TaylorMade,Spider Tour Black,2024,top20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
161,Si Woo Kim,-0.367,mallet,Odyssey,2-Ball Ten Broomstick,2021,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
162,Will Gordon,-0.38,blade,Odyssey,Ai-One Milled One T,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
163,Taylor Dickson,-0.387,mallet,Odyssey,Ai-One Milled Six T,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
164,Erik Van Rooyen,-0.401,blade,Odyssey,Toulon Design San Diego,2016,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
165,Byeong Hun An,-0.404,mallet,L.A.B. Golf,Mezz.1,2022,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
166,Karl Vilips,-0.411,mallet,TaylorMade,Spider Tour X,2019,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
167,Greyson Sigg,-0.454,mallet,TaylorMade,Spider Tour,2017,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
168,Steven Fisk,-0.471,mallet,Odyssey,White Hot OG Rossie,2021,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
169,Hayden Buckley,-0.513,blade,Odyssey,Ai-One Giraffe Beam,2025,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
170,Ben Kohles,-0.529,mallet,Scotty Cameron,P5 GSS,2017,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
171,Kevin Velo,-0.531,mallet,PING,PLD Anser,2022,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
172,John Pak,-0.553,blade,Swag Golf,Handsome Too,2018,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
173,Adam Svensson,-0.579,blade,Odyssey,Toulon Design 904L,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
174,Alejandro Tosti,-0.58,blade,Scotty Cameron,Squareback,2008,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
175,Isaiah Salinda,-0.606,blade,Odyssey,Ai-One Milled Two T,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
176,Thomas Rosenmueller,-0.611,blade,SeeMore,Nashville Studio Series Z1S,2018,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),mid-era (2016-2020)
177,Doug Ghim,-0.808,mallet,Scotty Cameron,Phantom 7.2 Tour Prototype,2022,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
178,Joseph Bramlett,-0.845,mallet,L.A.B. Golf,DF3,2024,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
179,Ryan Palmer,-0.871,mallet,TaylorMade,Spider Tour S,2023,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),modern (2021+)
180,Rico Hoey,-0.97,blade,Scotty Cameron,350,2005,bottom20,2025,PGA Tour Stats / Eden Steak analysis (edensteak.com),classic (pre-2016)
